Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2
500.0,1000.0,500.0,1000.0,58.933,95.95,14.007,116.0,139.0,75.0,192.0,209.0,155.0,6.71,9.38,17.3,63.0,72.0,-7.0,7.0,5.0,3.0,2.0,6.0,9.0,6.0,5.0,3.0,7.5,760.4,684.3,1402.3,76.1,17200000.0,18700000.0,100.0,138.0,1.88,2.16,3.04,-0.28,2.02,2.46,2.6,2.36,15.12,21.28,18.2,1918.0,-1.3,-1.6
500.0,1000.0,100.0,1000.0,58.933,0.0,14.007,116.0,0.0,75.0,192.0,0.0,155.0,6.71,0.0,17.3,63.0,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1402.3,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.04,0.0,0.0,2.46,0.0,0.0,0.0,21.28,0.0,0.0,-1.3,0.0
250.0,500.0,250.0,1000.0,58.933,55.845,14.007,116.0,115.0,75.0,192.0,194.0,155.0,6.71,7.11,17.3,63.0,15.0,-7.0,7.0,6.0,3.0,1.0,6.5,9.0,8.0,5.0,1.0,8.5,760.4,762.5,1402.3,-2.1,17200000.0,10000000.0,100.0,80.4,1.88,1.83,3.04,0.05,1.855,2.46,2.435,2.25,12.81,21.28,17.045,1890.0,-1.3,-1.45
200.0,500.0,200.0,500.0,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0
500.0,1000.0,100.0,1000.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
500.0,1000.0,100.0,1000.0,58.693,0.0,14.007,115.0,0.0,75.0,163.0,0.0,155.0,6.59,0.0,17.3,112.0,0.0,-7.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1402.3,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.04,0.0,0.0,2.475,0.0,0.0,0.0,24.32,0.0,0.0,-1.4,0.0
500.0,1000.0,100.0,1000.0,58.933,0.0,14.007,116.0,0.0,75.0,192.0,0.0,155.0,6.71,0.0,17.3,63.0,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1402.3,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.04,0.0,0.0,2.46,0.0,0.0,0.0,21.28,0.0,0.0,-1.3,0.0
100.0,1000.0,100.0,1000.0,208.98,114.82,32.06,148.0,142.0,102.0,207.0,193.0,180.0,21.31,15.76,15.5,91.2,38.9,200.4,10.0,10.0,4.0,0.0,10.0,5.0,3.0,6.0,2.0,4.0,703.0,558.3,999.6,144.7,900000.0,11600000.0,7.9,81.8,2.02,1.78,2.58,0.24,1.9,2.3,2.18,2.126666667,17.8,25.8,21.8,2900.0,0.0,0.0
500.0,1000.0,100.0,1000.0,106.42,0.0,0.0,138.0,0.0,0.0,163.0,0.0,0.0,8.85,0.0,0.0,54.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,804.4,0.0,0.0,0.0,95000000.0,0.0,71.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
100.0,1000.0,100.0,1000.0,58.693,0.0,15.999,115.0,0.0,73.0,163.0,0.0,152.0,6.59,0.0,14.0,112.0,0.0,141.0,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,1313.9,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.44,0.0,0.0,2.675,0.0,0.0,0.0,27.52,0.0,0.0,-1.4,0.0
100.0,1000.0,100.0,1000.0,78.971,58.933,15.999,116.0,116.0,73.0,190.0,192.0,152.0,16.4,6.71,14.0,195.0,63.0,141.0,10.0,7.0,4.0,3.0,8.5,6.0,9.0,6.0,-3.0,7.5,941.0,760.4,1313.9,180.6,1e-06,17200000.0,0.519,100.0,2.55,1.88,3.44,0.67,2.215,2.995,2.66,2.623333333,18.8,34.4,26.6,2320.0,0.0,-1.3
100.0,1000.0,100.0,1000.0,138.91,58.933,15.999,169.0,116.0,73.0,240.0,192.0,152.0,22.6,6.71,14.0,48.0,63.0,141.0,1.0,7.0,4.0,-6.0,4.0,3.0,9.0,6.0,-6.0,6.0,538.1,760.4,1313.9,-222.3,1340000.0,17200000.0,13.4,100.0,1.1,1.88,3.44,-0.78,1.49,2.27,2.66,2.14,1.88,3.44,2.66,285.0,0.0,-1.3
200.0,1000.0,300.0,1500.0,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
200.0,1000.0,200.0,1000.0,58.693,0.0,30.974,115.0,0.0,107.0,163.0,0.0,180.0,6.59,0.0,17.0,112.0,0.0,72.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1011.8,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,2.19,0.0,0.0,2.05,0.0,0.0,0.0,17.52,0.0,0.0,-1.4,0.0
200.0,500.0,200.0,500.0,58.933,0.0,30.974,116.0,0.0,107.0,192.0,0.0,180.0,6.71,0.0,17.0,63.0,0.0,72.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1011.8,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.19,0.0,0.0,2.035,0.0,0.0,0.0,15.33,0.0,0.0,-1.3,0.0
100.0,500.0,100.0,500.0,55.845,0.0,14.007,115.0,0.0,75.0,194.0,0.0,155.0,7.11,0.0,17.3,15.0,0.0,-7.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1402.3,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.04,0.0,0.0,2.435,0.0,0.0,0.0,18.24,0.0,0.0,-1.45,0.0
300.0,1000.0,100.0,1000.0,101.07,0.0,14.007,126.0,0.0,75.0,207.0,0.0,155.0,8.3,0.0,17.3,101.3,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,710.2,0.0,1402.3,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.04,0.0,0.0,2.62,0.0,0.0,0.0,21.28,0.0,0.0,-1.2,0.0
300.0,1000.0,100.0,1000.0,58.933,0.0,14.007,116.0,0.0,75.0,192.0,0.0,155.0,6.71,0.0,17.3,63.0,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1402.3,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.04,0.0,0.0,2.46,0.0,0.0,0.0,21.28,0.0,0.0,-1.3,0.0
500.0,1000.0,500.0,1000.0,58.933,58.693,14.007,116.0,115.0,75.0,192.0,163.0,155.0,6.71,6.59,17.3,63.0,112.0,-7.0,7.0,8.0,3.0,-1.0,7.5,9.0,10.0,5.0,-1.0,9.5,760.4,737.1,1402.3,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.04,-0.03,1.895,2.46,2.475,2.276666667,13.37,21.28,17.325,1890.0,-1.3,-1.4
500.0,1000.0,500.0,1000.0,58.693,0.0,14.007,115.0,0.0,75.0,163.0,0.0,155.0,6.59,0.0,17.3,112.0,0.0,-7.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1402.3,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.04,0.0,0.0,2.475,0.0,0.0,0.0,24.32,0.0,0.0,-1.4,0.0
200.0,500.0,200.0,500.0,138.91,58.933,15.999,169.0,116.0,73.0,240.0,192.0,152.0,22.6,6.71,14.0,48.0,63.0,141.0,1.0,7.0,4.0,-6.0,4.0,3.0,9.0,6.0,-6.0,6.0,538.1,760.4,1313.9,-222.3,1340000.0,17200000.0,13.4,100.0,1.1,1.88,3.44,-0.78,1.49,2.27,2.66,2.14,1.88,3.44,2.66,285.0,0.0,-1.3
200.0,500.0,200.0,500.0,55.845,138.91,15.999,115.0,169.0,73.0,194.0,240.0,152.0,7.11,22.6,14.0,15.0,48.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,3.0,6.0,5.0,5.5,762.5,538.1,1313.9,224.4,10000000.0,1340000.0,80.4,13.4,1.83,1.1,3.44,0.73,1.465,2.635,2.27,2.123333333,6.6,20.64,13.62,1704.0,-1.45,0.0
200.0,500.0,200.0,500.0,118.71,138.91,15.999,141.0,169.0,73.0,217.0,240.0,152.0,16.3,22.6,14.0,107.0,48.0,141.0,10.0,1.0,4.0,9.0,5.5,4.0,3.0,6.0,1.0,3.5,708.6,538.1,1313.9,170.5,9170000.0,1340000.0,67.0,13.4,1.96,1.1,3.44,0.86,1.53,2.7,2.27,2.166666667,11.0,34.4,22.7,3100.0,0.0,0.0
240.0,600.0,240.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
240.0,600.0,240.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
240.0,600.0,240.0,600.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
200.0,500.0,200.0,500.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
500.0,1000.0,200.0,1000.0,58.693,0.0,14.007,115.0,0.0,75.0,163.0,0.0,155.0,6.59,0.0,17.3,112.0,0.0,-7.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1402.3,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.04,0.0,0.0,2.475,0.0,0.0,0.0,24.32,0.0,0.0,-1.4,0.0
200.0,500.0,200.0,500.0,58.933,0.0,30.974,116.0,0.0,107.0,192.0,0.0,180.0,6.71,0.0,17.0,63.0,0.0,72.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1011.8,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.19,0.0,0.0,2.035,0.0,0.0,0.0,15.33,0.0,0.0,-1.3,0.0
200.0,500.0,200.0,500.0,58.933,0.0,30.974,116.0,0.0,107.0,192.0,0.0,180.0,6.71,0.0,17.0,63.0,0.0,72.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1011.8,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.19,0.0,0.0,2.035,0.0,0.0,0.0,15.33,0.0,0.0,-1.3,0.0
200.0,500.0,200.0,500.0,58.933,0.0,30.974,116.0,0.0,107.0,192.0,0.0,180.0,6.71,0.0,17.0,63.0,0.0,72.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1011.8,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,2.19,0.0,0.0,2.035,0.0,0.0,0.0,15.33,0.0,0.0,-1.3,0.0
100.0,500.0,100.0,500.0,55.845,0.0,14.007,115.0,0.0,75.0,194.0,0.0,155.0,7.11,0.0,17.3,15.0,0.0,-7.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1402.3,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.04,0.0,0.0,2.435,0.0,0.0,0.0,18.24,0.0,0.0,-1.45,0.0
100.0,1000.0,100.0,1500.0,58.693,0.0,15.999,115.0,0.0,73.0,163.0,0.0,152.0,6.59,0.0,14.0,112.0,0.0,141.0,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,1313.9,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.44,0.0,0.0,2.675,0.0,0.0,0.0,27.52,0.0,0.0,-1.4,0.0
100.0,600.0,100.0,600.0,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0
100.0,700.0,100.0,700.0,55.845,0.0,14.007,115.0,0.0,75.0,194.0,0.0,155.0,7.11,0.0,17.3,15.0,0.0,-7.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1402.3,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.04,0.0,0.0,2.435,0.0,0.0,0.0,18.24,0.0,0.0,-1.45,0.0
500.0,1000.0,500.0,1000.0,78.971,58.693,15.999,116.0,115.0,73.0,190.0,163.0,152.0,16.4,6.59,14.0,195.0,112.0,141.0,10.0,8.0,4.0,2.0,9.0,6.0,10.0,6.0,-4.0,8.0,941.0,737.1,1313.9,203.9,1e-06,14400000.0,0.519,91.4,2.55,1.91,3.44,0.64,2.23,2.995,2.675,2.633333333,19.1,34.4,26.75,2310.0,0.0,-1.4
500.0,1000.0,500.0,1000.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
200.0,500.0,200.0,500.0,47.867,0.0,12.011,136.0,0.0,76.0,187.0,0.0,170.0,10.64,0.0,5.29,7.6,0.0,121.8,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,658.8,0.0,1086.5,0.0,2340000.0,0.0,21.9,0.0,1.54,0.0,2.55,0.0,0.0,2.045,0.0,0.0,0.0,5.1,0.0,0.0,-2.2,0.0
100.0,1000.0,100.0,1000.0,58.933,54.938,15.999,116.0,139.0,73.0,192.0,197.0,152.0,6.71,7.39,14.0,63.0,50.0,141.0,7.0,5.0,4.0,2.0,6.0,9.0,7.0,6.0,2.0,8.0,760.4,717.3,1313.9,43.1,17200000.0,695000.0,100.0,7.81,1.88,1.55,3.44,0.33,1.715,2.66,2.495,2.29,10.85,24.08,17.465,1918.0,-1.3,-1.6
100.0,500.0,100.0,500.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
100.0,1000.0,100.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
100.0,1000.0,100.0,1000.0,138.91,58.933,15.999,169.0,116.0,73.0,240.0,192.0,152.0,22.6,6.71,14.0,48.0,63.0,141.0,1.0,7.0,4.0,-6.0,4.0,3.0,9.0,6.0,-6.0,6.0,538.1,760.4,1313.9,-222.3,1340000.0,17200000.0,13.4,100.0,1.1,1.88,3.44,-0.78,1.49,2.27,2.66,2.14,1.88,3.44,2.66,285.0,0.0,-1.3
200.0,1000.0,200.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
200.0,1000.0,200.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
200.0,500.0,200.0,500.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
200.0,500.0,200.0,500.0,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0
200.0,500.0,200.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
200.0,500.0,200.0,500.0,58.933,0.0,15.999,116.0,0.0,73.0,192.0,0.0,152.0,6.71,0.0,14.0,63.0,0.0,141.0,7.0,0.0,4.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,760.4,0.0,1313.9,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.44,0.0,0.0,2.66,0.0,0.0,0.0,24.08,0.0,0.0,-1.3,0.0
200.0,500.0,200.0,500.0,58.693,58.933,15.999,115.0,116.0,73.0,163.0,192.0,152.0,6.59,6.71,14.0,112.0,63.0,141.0,8.0,7.0,4.0,1.0,7.5,10.0,9.0,6.0,1.0,9.5,737.1,760.4,1313.9,-23.3,14400000.0,17200000.0,91.4,100.0,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848.0,-1.4,-1.3
200.0,1000.0,200.0,1000.0,51.996,138.91,15.999,135.0,169.0,73.0,189.0,240.0,152.0,7.23,22.6,14.0,64.3,48.0,141.0,5.0,1.0,4.0,4.0,3.0,6.0,3.0,6.0,3.0,4.5,652.9,538.1,1313.9,114.8,7670000.0,1340000.0,93.7,13.4,1.66,1.1,3.44,0.56,1.38,2.55,2.27,2.066666667,5.5,17.2,11.35,1520.0,-1.7,0.0
333.0,1000.0,333.0,1000.0,58.693,0.0,15.999,115.0,0.0,73.0,163.0,0.0,152.0,6.59,0.0,14.0,112.0,0.0,141.0,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,1313.9,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.44,0.0,0.0,2.675,0.0,0.0,0.0,27.52,0.0,0.0,-1.4,0.0
100.0,1000.0,100.0,1000.0,95.95,0.0,32.06,139.0,0.0,102.0,209.0,0.0,180.0,9.38,0.0,15.5,72.0,0.0,200.4,5.0,0.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,684.3,0.0,999.6,0.0,18700000.0,0.0,138.0,0.0,2.16,0.0,2.58,0.0,0.0,2.37,0.0,0.0,0.0,12.9,0.0,0.0,-1.6,0.0
200.0,500.0,200.0,500.0,51.996,106.42,15.999,135.0,138.0,73.0,189.0,163.0,152.0,7.23,8.85,14.0,64.3,54.0,141.0,5.0,10.0,4.0,-5.0,7.5,6.0,10.0,6.0,-4.0,8.0,652.9,804.4,1313.9,-151.5,7670000.0,95000000.0,93.7,71.8,1.66,2.2,3.44,-0.54,1.93,2.55,2.82,2.433333333,11.0,17.2,14.1,1365.0,-1.7,-2.0
100.0,500.0,100.0,500.0,55.845,0.0,14.007,115.0,0.0,75.0,194.0,0.0,155.0,7.11,0.0,17.3,15.0,0.0,-7.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1402.3,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.04,0.0,0.0,2.435,0.0,0.0,0.0,18.24,0.0,0.0,-1.45,0.0
1000.0,1000.0,500.0,500.0,58.693,55.845,15.999,115.0,115.0,73.0,163.0,194.0,152.0,6.59,7.11,14.0,112.0,15.0,141.0,8.0,6.0,4.0,2.0,7.0,10.0,8.0,6.0,2.0,9.0,737.1,762.5,1313.9,-25.4,14400000.0,10000000.0,91.4,80.4,1.91,1.83,3.44,0.08,1.87,2.675,2.635,2.393333333,14.64,27.52,21.08,1840.0,-1.4,-1.45
72.5,144.9,72.5,144.9,58.933,58.693,15.999,116.0,115.0,73.0,192.0,163.0,152.0,6.71,6.59,14.0,63.0,112.0,141.0,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,1313.9,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890.0,-1.3,-1.4
107.8,215.0,107.8,215.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
500.0,500.0,500.0,500.0,58.693,0.0,15.999,115.0,0.0,73.0,163.0,0.0,152.0,6.59,0.0,14.0,112.0,0.0,141.0,8.0,0.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,737.1,0.0,1313.9,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,3.44,0.0,0.0,2.675,0.0,0.0,0.0,27.52,0.0,0.0,-1.4,0.0
200.0,1000.0,100.0,1000.0,95.95,54.938,32.06,139.0,139.0,102.0,209.0,197.0,180.0,9.38,7.39,15.5,72.0,50.0,200.4,5.0,5.0,4.0,0.0,5.0,6.0,7.0,6.0,-1.0,6.5,684.3,717.3,999.6,-33.0,18700000.0,695000.0,138.0,7.81,2.16,1.55,2.58,0.61,1.855,2.37,2.065,2.096666667,7.75,12.9,10.325,1390.0,-1.6,-1.6
500.0,500.0,100.0,500.0,95.95,0.0,30.974,139.0,0.0,107.0,209.0,0.0,180.0,9.38,0.0,17.0,72.0,0.0,72.0,5.0,0.0,3.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,684.3,0.0,1011.8,0.0,18700000.0,0.0,138.0,0.0,2.16,0.0,2.19,0.0,0.0,2.175,0.0,0.0,0.0,10.95,0.0,0.0,-1.6,0.0
500.0,1000.0,800.0,1000.0,58.693,0.0,30.974,115.0,0.0,107.0,163.0,0.0,180.0,6.59,0.0,17.0,112.0,0.0,72.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1011.8,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,2.19,0.0,0.0,2.05,0.0,0.0,0.0,17.52,0.0,0.0,-1.4,0.0
200.0,500.0,200.0,500.0,58.933,0.0,14.007,116.0,0.0,75.0,192.0,0.0,155.0,6.71,0.0,17.3,63.0,0.0,-7.0,7.0,0.0,3.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,760.4,0.0,1402.3,0.0,17200000.0,0.0,100.0,0.0,1.88,0.0,3.04,0.0,0.0,2.46,0.0,0.0,0.0,21.28,0.0,0.0,-1.3,0.0
